course_name,name,section,overall_grade,grade,difficulty,useful,comments,time
CHLL3010,TANG KENG PAN,1,B-,B+,B,A,4,FRI 11:30-12:45 & TUE 11:30-12:45
CISC2001,LI LI,1,B-,B-,B-,B-,38,FRI 17:30-18:45 & MON 16:00-17:15 & THU 16:00-17:15
CISC3007,YIBO BOB ZHANG,1,B-,B,C+,B+,5,MON 14:30-15:45 & THU 14:30-15:45
CISC3023,CHEN LONG,1,B-,B-,C,B-,23,MON 10:00-11:15 & THU 10:00-11:15
CISC3028,MIGUEL JUNIOR GOMES DA COSTA,1,B-,B,B-,B,8,FRI 17:30-18:45 & TUE 17:30-18:45
CIVL1000,MIGUEL JUNIOR GOMES DA COSTA,1,B-,B+,C+,B+,24,FRI 14:00-15:45 & TUE 14:00-15:45
CIVL1000,MIGUEL JUNIOR GOMES DA COSTA,2,B-,B+,C+,B+,24,FRI 09:00-10:45 & TUE 09:00-10:45
COMM3027,TIMOTHY ALAN SIMPSON,1,B-,A,C,A-,2,FRI 17:30-18:45 & TUE 17:30-18:45
COMM4007,BENJAMIN KIDDER HODGES,1,B-,B,B-,B-,5,MON 14:30-17:15
COMM4007,BENJAMIN KIDDER HODGES,2,B-,B,B-,B-,5,THU 10:00-12:45
COMM4007,BENJAMIN KIDDER HODGES,3,B-,B,B-,B-,5,THU 14:30-17:15
CPED1001,LEONG HUNG PO,18,B-,A,A,B-,2,THU 09:30-11:15
CPED1001,LEONG HUNG PO,19,B-,A,A,B-,2,THU 11:30-13:15
CPED1001,WONG U KEI,7,B-,A-,B,B+,19,MON 13:30-15:15
CPED1001,WONG U KEI,8,B-,A-,B,B+,19,MON 15:30-17:15
CPED1001,WONG U KEI,9,B-,A-,B,B+,19,TUE 13:30-15:15
CPED1001,WONG U KEI,10,B-,A-,B,B+,19,TUE 15:30-17:15
CPED1001,WONG U KEI,11,B-,A-,B,B+,19,WED 09:30-11:15
CPED1001,WONG U KEI,12,B-,A-,B,B+,19,WED 11:30-13:15
CPED1001,WONG U KEI,13,B-,A-,B,B+,19,THU 09:30-11:15
ECEN1008,MAK PENG UN,1,B-,B,B+,C,16,MON 14:00-15:45 & THU 14:00-15:45
ECEN1012,FEN HOU,1,B-,B,C+,B,4,FRI 14:00-15:45 & TUE 14:00-15:45 & WED 11:00-12:45
ECEN3009,DAI NINGYI,1,B-,B,B,B-,4,MON 11:00-12:45 & THU 11:00-12:45
ECEN3024,LAW MAN KAY,1,B-,B-,C,B,17,MON 09:00-10:45 & THU 09:00-10:45
EDUC1054,WANG PING CHENG DENNIS,1,B-,B,C,C+,10,WED 10:00-12:45
EDUC1054,WANG PING CHENG DENNIS,4,B-,B,C,C+,10,MON 08:30-11:15
EDUC1060,ZHANG ZE XUN,1,B-,B+,B-,C+,18,MON 10:00-12:45
EDUC2003,CHEN WEI-WEN,1,B-,B,B,B,46,FRI 16:00-17:15 & TUE 16:00-17:15
EDUC2041,GAN ZHENGDONG,1,B-,C,C+,C+,7,MON 17:30-18:45 & THU 17:30-18:45
EDUC3033,LIU NAI HUA,1,B-,B+,C+,A-,9,FRI 14:30-15:45 & TUE 14:30-15:45
EMEN1001,LAO SENG KIN,1,B-,B,B-,B-,6,WED 11:00-12:45
ENGL1003,IO KEI KUONG,1,B-,B,B-,B,21,MON 16:00-17:15 & THU 16:00-17:15
ENGL1003,IO KEI KUONG,2,B-,B,B-,B,21,MON 14:30-15:45 & THU 14:30-15:45
ENGL1006,POHL MARCO,1,B-,B+,B-,B+,26,MON 10:00-11:15 & THU 10:00-11:15
ENGL1006,POHL MARCO,2,B-,B+,B-,B+,26,MON 11:30-12:45 & THU 11:30-12:45
FINC3001,TAM HON KEUNG,1,B-,A-,C+,B,3,FRI 11:30-12:45 & TUE 11:30-12:45
GEGA1000,XIE JINGZHEN,1,B-,B,B+,C+,4,MON 14:30-15:45 & THU 14:30-15:45
GEGA1003,ROSTAM MAG.IUR.DR.IUR.NEUWIRTH,1,B-,B-,B+,B-,19,MON 08:30-09:45 & THU 08:30-09:45
GEGA1006,SHAO HUAIYU,1,B-,B+,B-,B,37,MON 08:30-09:45 & THU 08:30-09:45
GEGA1006,XING GUICHUAN,3,B-,B,B,C+,40,FRI 16:00-17:15 & TUE 16:00-17:15
GEGA3001,YANG HAI,1,B-,B,C,B,28,MON 16:00-17:15 & THU 16:00-17:15
GEGA3001,YANG HAI,2,B-,B,C,B,28,SAT 10:00-12:45:00
GELH1000,CHEONG IM LAN,4,B-,B+,B,B+,69,FRI 10:00-11:15 & TUE 10:00-11:15
GELH1000,CHEONG IM LAN,5,B-,B+,B,B+,69,FRI 11:30-12:45 & TUE 11:30-12:45
GELH1000,CHEONG IM LAN,6,B-,B+,B,B+,69,FRI 14:30-15:45 & TUE 14:30-15:45
GEST1001,JIAO YIFAN,6,B-,B,B-,B,4,MON 16:00-17:15 & THU 16:00-17:15
GEST1001,JIAO YIFAN,7,B-,B,B-,B,4,FRI 16:00-17:15 & TUE 16:00-17:15
GEST1002,LEI CHON LOK,4,B-,A,B,A-,33,MON 08:30-09:45 & THU 08:30-09:45
GEST1004,CHENG CHE MAN RAYMOND,1,B-,B-,C,C+,14,MON 16:00-17:15 & THU 16:00-17:15 & WED 11:00-11:50
